"","Longitude","Latitude","IsoTime","Yield","SWATHWIDTH","Swaths","DISTANCE","Heading","WetMass","Moisture"
"1",1132.68243164402,24.7960229240852,"2019-10-31T22:33:26.000Z",0,5,7,0.94108419,355.93746948,0,0
"2",1132.63065531146,25.251538834184,"2019-10-31T22:33:27.006Z",0,5,7,1.07231778,355.87746948,0,0
"3",1132.57093037281,25.8195236817242,"2019-10-31T22:33:27.999Z",0,5,7,1.89252776,355.70746948,0,0
"4",1132.50436080193,26.3766708222053,"2019-10-31T22:33:29.006Z",0,5,7,1.85971936,355.57746948,0,0
"5",1132.43613527183,26.9151284620933,"2019-10-31T22:33:29.996Z",0,5,7,1.79410256,355.59746948,0,0
"6",1132.35477245321,27.435449435039,"2019-10-31T22:33:30.998Z",0,5,7,1.72848576,355.27746948,0,0
"7",1132.29648269093,27.9558811293567,"2019-10-31T22:33:32.000Z",0,5,7,1.72848576,355.46746948,0,0
"8",1132.23885530071,28.4882564321983,"2019-10-31T22:33:33.007Z",0,5,7,1.76129416,355.70746948,0,0
"9",1132.12371091956,29.1031308653654,"2019-10-31T22:33:34.003Z",0,5,7,2.05656975,354.98746948,0,22.97
"10",1131.98902621628,29.7372477443577,"2019-10-31T22:33:35.006Z",0,5,7,2.12218655,354.13746948,0,22.97
"11",1131.81780000799,30.5125867230684,"2019-10-31T22:33:35.996Z",0,5,7,2.58150414,353.26746948,0,22.97
"12",1131.58199141407,31.3432199711675,"2019-10-31T22:33:36.994Z",0,5,7,2.81116293,351.58746948,0,22.97
"13",1131.27972365637,32.2373312600751,"2019-10-31T22:33:37.999Z",34.25781608,5,7,3.04082172,349.73746948,2116.83339043,22.97
"14",1130.9809885921,33.1860737261735,"2019-10-31T22:33:39.006Z",44.7758743,5,7,3.20486372,348.89746948,2766.75738995,22.97
"15",1130.75853804759,33.9895024779382,"2019-10-31T22:33:39.994Z",67.03061134,5,7,2.71273773,348.77746948,4141.90548289,22.97
